query_id	doc_id	relevance
LAM-000000	024_924	1
LAM-000001	024_925	1
LAM-000002	024_926	1
LAM-000003	024_927	1
LAM-000004	024_928	1
LAM-000005	024_929	1
LAM-000006	024_930	1
LAM-000007	024_931	1
LAM-000008	024_932	1
LAM-000009	024_933	1
LAM-000010	024_934	1
LAM-000011	024_936	1
LAM-000012	024_937	1
LAM-000013	024_938	1
LAM-000014	024_939	1
LAM-000015	024_940	1
LAM-000016	024_941	1
LAM-000017	024_946	1
LAM-000018	024_947	1
LAM-000019	024_948	1
LAM-000020	024_950	1
LAM-000021	024_954	1
LAM-000022	024_958	1
LAM-000023	024_959	1
LAM-000024	024_962	1
LAM-000025	024_963	1
LAM-000026	024_964	1
LAM-000027	024_966	1
LAM-000028	024_967	1
LAM-000029	024_968	1
LAM-000030	024_969	1
LAM-000031	024_970	1
LAM-000032	024_971	1
LAM-000033	024_972	1
LAM-000034	024_973	1
LAM-000035	023_916	1
LAM-000036	023_917	1
LAM-000037	023_918	1
LAM-000038	012_365	1
LAM-000039	012_366	1
LAM-000040	079_4125	1
LAM-000041	079_4126	1
LAM-000042	041_1750	1
LAM-000043	041_1752	1
LAM-000044	041_1753	1
LAM-000045	041_1754	1
LAM-000046	041_1756	1
LAM-000047	041_1758	1
LAM-000048	041_1759	1
LAM-000049	041_1760	1
LAM-000050	041_1762	1
LAM-000051	041_1763	1
LAM-000052	041_1764	1
LAM-000053	041_1766	1
LAM-000054	041_1767	1
LAM-000055	041_1768	1
LAM-000056	041_1769	1
LAM-000057	041_1770	1
LAM-000058	041_1771	1
LAM-000059	041_1772	1
LAM-000060	041_1773	1
LAM-000061	041_1774	1
LAM-000062	041_1775	1
LAM-000063	041_1776	1
LAM-000064	041_1778	1
LAM-000065	041_1779	1
LAM-000066	041_1780	1
LAM-000067	041_1781	1
LAM-000068	041_1782	1
LAM-000069	041_1784	1
LAM-000070	041_1785	1
LAM-000071	041_1786	1
LAM-000072	041_1787	1
LAM-000073	041_1788	1
LAM-000074	041_1791	1
LAM-000075	048_1940	1
LAM-000076	077_4109	1
LAM-000077	077_4110	1
LAM-000078	083_4203	1
LAM-000079	083_4204	1
LAM-000080	083_4205	1
LAM-000081	083_4206	1
LAM-000082	083_4207	1
LAM-000083	083_4208	1
LAM-000084	083_4209	1
LAM-000085	083_4210	1
LAM-000086	083_4211	1
LAM-000087	083_4212	1
LAM-000088	083_4213	1
LAM-000089	083_4214	1
LAM-000090	084_4219	1
LAM-000091	084_4220	1
LAM-000092	022_908	1
LAM-000093	022_911	1
LAM-000094	025_978	1
LAM-000095	025_979	1
LAM-000096	025_981	1
LAM-000097	025_982	1
LAM-000098	025_983	1
LAM-000099	025_985	1
LAM-000100	071_3894	1
LAM-000101	071_3895	1
LAM-000102	071_3896	1
LAM-000103	085_4227	1
LAM-000104	085_4228	1
LAM-000105	085_4229	1
LAM-000106	085_4230	1
LAM-000107	049_1944	1
LAM-000108	049_1945	1
LAM-000109	049_1946	1
LAM-000110	049_1948	1
LAM-000111	049_1949	1
LAM-000112	049_1952	1
LAM-000113	049_1953	1
LAM-000114	049_1956	1
LAM-000115	049_1957	1
LAM-000116	049_1958	1
LAM-000117	049_1960	1
LAM-000118	049_1961	1
LAM-000119	049_1964	1
LAM-000120	049_1965	1
LAM-000121	049_1968	1
LAM-000122	049_1969	1
LAM-000123	049_1972	1
LAM-000124	049_1976	1
LAM-000125	049_1977	1
LAM-000126	049_1978	1
LAM-000127	049_1980	1
LAM-000128	049_1981	1
LAM-000129	049_1984	1
LAM-000130	049_1985	1
LAM-000131	049_1987	1
LAM-000132	049_1988	1
LAM-000133	049_1989	1
LAM-000134	049_1992	1
LAM-000135	049_1993	1
LAM-000136	049_1996	1
LAM-000137	049_1997	1
LAM-000138	049_2000	1
LAM-000139	049_2001	1
LAM-000140	049_2004	1
LAM-000141	049_2005	1
LAM-000142	049_2008	1
LAM-000143	049_2009	1
LAM-000144	049_2012	1
LAM-000145	049_2013	1
LAM-000146	049_2016	1
LAM-000147	049_2017	1
LAM-000148	049_2020	1
LAM-000149	049_2021	1
LAM-000150	049_2022	1
LAM-000151	049_2023	1
LAM-000152	049_2024	1
LAM-000153	049_2025	1
LAM-000154	049_2026	1
LAM-000155	049_2027	1
LAM-000156	049_2028	1
LAM-000157	049_2029	1
LAM-000158	049_2030	1
LAM-000159	049_2032	1
LAM-000160	049_2033	1
LAM-000161	049_2036	1
LAM-000162	049_2037	1
LAM-000163	049_2040	1
LAM-000164	049_2041	1
LAM-000165	049_2042	1
LAM-000166	049_2043	1
LAM-000167	049_2044	1
LAM-000168	049_2045	1
LAM-000169	049_2048	1
LAM-000170	049_2049	1
LAM-000171	049_2050	1
LAM-000172	049_2052	1
LAM-000173	049_2053	1
LAM-000174	049_2054	1
LAM-000175	049_2056	1
LAM-000176	049_2057	1
LAM-000177	049_2058	1
LAM-000178	049_2059	1
LAM-000179	049_2060	1
LAM-000180	049_2061	1
LAM-000181	049_2062	1
LAM-000182	049_2064	1
LAM-000183	049_2065	1
LAM-000184	049_2066	1
LAM-000185	049_2067	1
LAM-000186	049_2068	1
LAM-000187	049_2069	1
LAM-000188	049_2072	1
LAM-000189	049_2073	1
LAM-000190	049_2076	1
LAM-000191	049_2077	1
LAM-000192	049_2078	1
LAM-000193	049_2080	1
LAM-000194	049_2081	1
LAM-000195	049_2084	1
LAM-000196	049_2085	1
LAM-000197	049_2086	1
LAM-000198	049_2088	1
LAM-000199	049_2089	1
LAM-000200	049_2092	1
LAM-000201	049_2093	1
LAM-000202	049_2094	1
LAM-000203	049_2096	1
LAM-000204	049_2097	1
LAM-000205	049_2098	1
LAM-000206	049_2100	1
LAM-000207	049_2101	1
LAM-000208	049_2104	1
LAM-000209	049_2105	1
LAM-000210	049_2108	1
LAM-000211	049_2109	1
LAM-000212	049_2112	1
LAM-000213	049_2113	1
LAM-000214	049_2116	1
LAM-000215	049_2117	1
LAM-000216	049_2120	1
LAM-000217	049_2121	1
LAM-000218	049_2124	1
LAM-000219	049_2125	1
LAM-000220	049_2126	1
LAM-000221	049_2128	1
LAM-000222	049_2129	1
LAM-000223	049_2130	1
LAM-000224	049_2132	1
LAM-000225	049_2133	1
LAM-000226	049_2136	1
LAM-000227	049_2137	1
